Instant,Datetime,Season,Year,Month,Hour,Holiday,Weekday,Weather,Temperature,Atemp,Humidity,Windspeed,Casual,Registered,Total_Count,Week_name,Month_name,Weather_condition
161,2011-01-07,1,0,1,23,0,5,2,0.18,0.197,0.51,0.1642,1,14,15,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
162,2011-01-08,1,0,1,0,0,6,2,0.18,0.197,0.51,0.1642,1,24,25,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
163,2011-01-08,1,0,1,1,0,6,2,0.18,0.2121,0.55,0.0896,1,15,16,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
164,2011-01-08,1,0,1,2,0,6,2,0.18,0.2424,0.55,0.0,3,13,16,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
165,2011-01-08,1,0,1,3,0,6,3,0.18,0.197,0.55,0.1642,0,7,7,Sat,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
166,2011-01-08,1,0,1,4,0,6,3,0.18,0.197,0.55,0.1642,0,1,1,Sat,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
167,2011-01-08,1,0,1,5,0,6,2,0.16,0.1667,0.74,0.1642,0,5,5,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
168,2011-01-08,1,0,1,6,0,6,2,0.16,0.1667,0.74,0.1642,0,2,2,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
169,2011-01-08,1,0,1,7,0,6,2,0.16,0.1818,0.74,0.1045,1,8,9,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
170,2011-01-08,1,0,1,8,0,6,3,0.16,0.1818,0.93,0.1045,0,15,15,Sat,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
171,2011-01-08,1,0,1,9,0,6,3,0.16,0.1818,0.93,0.1045,0,20,20,Sat,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
172,2011-01-08,1,0,1,10,0,6,2,0.18,0.197,0.8,0.1642,5,56,61,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
173,2011-01-08,1,0,1,11,0,6,2,0.2,0.1818,0.69,0.3881,2,60,62,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
174,2011-01-08,1,0,1,12,0,6,2,0.2,0.1818,0.59,0.3582,8,90,98,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
175,2011-01-08,1,0,1,13,0,6,1,0.2,0.1818,0.44,0.3284,7,95,102,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
176,2011-01-08,1,0,1,14,0,6,1,0.2,0.1667,0.32,0.4925,12,83,95,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
177,2011-01-08,1,0,1,15,0,6,1,0.2,0.1667,0.32,0.4478,5,69,74,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
178,2011-01-08,1,0,1,16,0,6,1,0.18,0.1364,0.29,0.4478,8,68,76,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
179,2011-01-08,1,0,1,17,0,6,1,0.16,0.1212,0.37,0.5522,5,64,69,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
180,2011-01-08,1,0,1,18,0,6,1,0.14,0.1212,0.39,0.2985,3,52,55,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
181,2011-01-08,1,0,1,19,0,6,1,0.14,0.1212,0.36,0.2537,4,26,30,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
182,2011-01-08,1,0,1,20,0,6,1,0.12,0.1212,0.36,0.2537,0,28,28,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
183,2011-01-08,1,0,1,21,0,6,1,0.12,0.1061,0.39,0.3582,2,35,37,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
184,2011-01-08,1,0,1,22,0,6,1,0.12,0.1061,0.36,0.3881,1,33,34,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
185,2011-01-08,1,0,1,23,0,6,1,0.1,0.0606,0.39,0.4478,0,22,22,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
186,2011-01-09,1,0,1,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
187,2011-01-09,1,0,1,1,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
188,2011-01-09,1,0,1,2,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
189,2011-01-09,1,0,1,3,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
190,2011-01-09,1,0,1,4,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
191,2011-01-09,1,0,1,5,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
192,2011-01-09,1,0,1,6,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
193,2011-01-09,1,0,1,7,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
194,2011-01-09,1,0,1,8,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
195,2011-01-09,1,0,1,9,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
196,2011-01-09,1,0,1,10,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
197,2011-01-09,1,0,1,11,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
198,2011-01-09,1,0,1,12,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
199,2011-01-09,1,0,1,13,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
200,2011-01-09,1,0,1,14,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
201,2011-01-09,1,0,1,15,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
202,2011-01-09,1,0,1,16,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
203,2011-01-09,1,0,1,17,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
204,2011-01-09,1,0,1,18,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
205,2011-01-09,1,0,1,19,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
206,2011-01-09,1,0,1,20,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
207,2011-01-09,1,0,1,21,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
208,2011-01-09,1,0,1,22,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
209,2011-01-09,1,0,1,23,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
210,2011-01-10,1,0,1,0,0,1,1,0.12,0.1212,0.5,0.2836,2,3,5,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
211,2011-01-10,1,0,1,1,0,1,1,0.12,0.1212,0.5,0.2836,1,0,1,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
212,2011-01-10,1,0,1,2,0,1,1,0.12,0.1212,0.5,0.2239,0,3,3,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
213,2011-01-10,1,0,1,3,0,1,1,0.12,0.1212,0.5,0.2239,0,1,1,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
214,2011-01-10,1,0,1,4,0,1,1,0.1,0.1212,0.54,0.1343,1,2,3,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
215,2011-01-10,1,0,1,5,0,1,1,0.1,0.1061,0.54,0.2537,0,3,3,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
216,2011-01-10,1,0,1,6,0,1,1,0.12,0.1212,0.5,0.2836,0,31,31,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
217,2011-01-10,1,0,1,7,0,1,1,0.12,0.1212,0.5,0.2239,2,75,77,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
218,2011-01-10,1,0,1,8,0,1,2,0.12,0.1212,0.5,0.2836,4,184,188,Mon,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
219,2011-01-10,1,0,1,9,0,1,2,0.14,0.1212,0.5,0.2537,2,92,94,Mon,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
220,2011-01-10,1,0,1,10,0,1,2,0.14,0.1212,0.5,0.2985,0,31,31,Mon,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
221,2011-01-10,1,0,1,11,0,1,2,0.16,0.1364,0.47,0.2836,2,28,30,Mon,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
222,2011-01-10,1,0,1,12,0,1,2,0.2,0.1818,0.4,0.2836,5,47,52,Mon,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
223,2011-01-10,1,0,1,13,0,1,2,0.2,0.1818,0.4,0.2836,4,50,54,Mon,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
224,2011-01-10,1,0,1,14,0,1,2,0.2,0.197,0.4,0.2239,0,47,47,Mon,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
225,2011-01-10,1,0,1,15,0,1,2,0.2,0.197,0.4,0.2239,2,43,45,Mon,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
226,2011-01-10,1,0,1,16,0,1,1,0.2,0.2121,0.4,0.1343,4,70,74,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
227,2011-01-10,1,0,1,17,0,1,1,0.2,0.2273,0.4,0.1045,4,174,178,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
228,2011-01-10,1,0,1,18,0,1,1,0.2,0.197,0.4,0.2239,1,154,155,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
229,2011-01-10,1,0,1,19,0,1,1,0.16,0.1667,0.47,0.1642,3,92,95,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
230,2011-01-10,1,0,1,20,0,1,1,0.16,0.1667,0.5,0.1642,1,73,74,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
231,2011-01-10,1,0,1,21,0,1,1,0.14,0.1364,0.59,0.194,1,37,38,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
232,2011-01-10,1,0,1,22,0,1,1,0.14,0.1515,0.59,0.1642,2,22,24,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
233,2011-01-10,1,0,1,23,0,1,1,0.14,0.1515,0.59,0.1642,0,18,18,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
234,2011-01-11,1,0,1,0,0,2,1,0.14,0.1667,0.59,0.1045,2,10,12,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
235,2011-01-11,1,0,1,1,0,2,1,0.14,0.1515,0.59,0.1642,0,3,3,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
236,2011-01-11,1,0,1,2,0,2,2,0.16,0.1515,0.55,0.194,0,3,3,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
237,2011-01-11,1,0,1,5,0,2,2,0.16,0.1818,0.55,0.1343,0,6,6,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
238,2011-01-11,1,0,1,6,0,2,2,0.16,0.1818,0.55,0.1343,0,27,27,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
239,2011-01-11,1,0,1,7,0,2,2,0.16,0.2273,0.55,0.0,2,97,99,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
240,2011-01-11,1,0,1,8,0,2,2,0.18,0.2121,0.51,0.0896,3,214,217,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
241,2011-01-11,1,0,1,9,0,2,2,0.18,0.197,0.51,0.1642,3,127,130,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
242,2011-01-11,1,0,1,10,0,2,2,0.2,0.2121,0.51,0.1642,3,51,54,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
243,2011-01-11,1,0,1,11,0,2,2,0.2,0.2121,0.47,0.1343,4,31,35,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
244,2011-01-11,1,0,1,12,0,2,2,0.2,0.2273,0.51,0.1045,2,55,57,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
245,2011-01-11,1,0,1,13,0,2,2,0.2,0.2273,0.59,0.0896,6,46,52,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
246,2011-01-11,1,0,1,14,0,2,2,0.2,0.2273,0.59,0.0896,3,60,63,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
247,2011-01-11,1,0,1,15,0,2,2,0.16,0.197,0.8,0.0896,2,45,47,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
248,2011-01-11,1,0,1,16,0,2,2,0.16,0.1515,0.86,0.2239,4,72,76,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
249,2011-01-11,1,0,1,17,0,2,2,0.16,0.1515,0.86,0.2239,6,130,136,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
250,2011-01-11,1,0,1,18,0,2,3,0.16,0.1818,0.93,0.1045,1,94,95,Tue,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
251,2011-01-11,1,0,1,19,0,2,3,0.16,0.2273,0.93,0.0,0,51,51,Tue,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
252,2011-01-11,1,0,1,20,0,2,3,0.16,0.1515,0.93,0.194,0,32,32,Tue,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
253,2011-01-11,1,0,1,21,0,2,3,0.16,0.197,0.86,0.0896,0,20,20,Tue,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
254,2011-01-11,1,0,1,22,0,2,3,0.16,0.1818,0.93,0.1045,1,28,29,Tue,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
255,2011-01-11,1,0,1,23,0,2,3,0.16,0.197,0.93,0.0896,1,18,19,Tue,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
256,2011-01-12,1,0,1,0,0,3,2,0.16,0.197,0.86,0.0896,0,7,7,Wed,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
257,2011-01-12,1,0,1,1,0,3,2,0.16,0.1818,0.86,0.1045,0,6,6,Wed,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
258,2011-01-12,1,0,1,2,0,3,1,0.14,0.1515,0.86,0.1343,0,1,1,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
259,2011-01-12,1,0,1,5,0,3,1,0.14,0.1515,0.86,0.1642,0,5,5,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
260,2011-01-12,1,0,1,6,0,3,1,0.12,0.1515,0.93,0.1343,0,16,16,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
261,2011-01-12,1,0,1,7,0,3,1,0.14,0.1515,0.69,0.1343,0,54,54,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
262,2011-01-12,1,0,1,8,0,3,1,0.16,0.1667,0.59,0.1642,3,125,128,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
263,2011-01-12,1,0,1,9,0,3,1,0.16,0.1364,0.59,0.3284,3,78,81,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
264,2011-01-12,1,0,1,10,0,3,1,0.18,0.1818,0.55,0.2239,0,39,39,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
265,2011-01-12,1,0,1,11,0,3,1,0.2,0.1818,0.51,0.3881,3,32,35,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
266,2011-01-12,1,0,1,12,0,3,1,0.2,0.1515,0.47,0.5821,3,52,55,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
267,2011-01-12,1,0,1,13,0,3,1,0.22,0.197,0.44,0.3582,0,49,49,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
268,2011-01-12,1,0,1,14,0,3,1,0.2,0.1818,0.47,0.3284,0,44,44,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
269,2011-01-12,1,0,1,15,0,3,1,0.2,0.1667,0.47,0.4179,1,48,49,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
270,2011-01-12,1,0,1,16,0,3,1,0.22,0.197,0.44,0.3284,5,63,68,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
271,2011-01-12,1,0,1,17,0,3,1,0.2,0.1818,0.47,0.3582,0,139,139,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
272,2011-01-12,1,0,1,18,0,3,1,0.2,0.1515,0.47,0.5224,2,135,137,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
273,2011-01-12,1,0,1,19,0,3,1,0.18,0.1515,0.47,0.4179,1,82,83,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
274,2011-01-12,1,0,1,20,0,3,1,0.16,0.1364,0.5,0.3284,2,54,56,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
275,2011-01-12,1,0,1,21,0,3,1,0.16,0.1364,0.55,0.3284,0,57,57,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
276,2011-01-12,1,0,1,22,0,3,1,0.16,0.1212,0.55,0.4478,1,32,33,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
277,2011-01-12,1,0,1,23,0,3,1,0.14,0.1061,0.59,0.4179,1,19,20,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
278,2011-01-13,1,0,1,0,0,4,1,0.14,0.1212,0.59,0.2836,1,6,7,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
279,2011-01-13,1,0,1,1,0,4,1,0.14,0.1212,0.5,0.2836,0,2,2,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
280,2011-01-13,1,0,1,2,0,4,1,0.14,0.1212,0.5,0.3582,0,2,2,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
281,2011-01-13,1,0,1,3,0,4,1,0.14,0.1212,0.5,0.3284,0,3,3,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
282,2011-01-13,1,0,1,4,0,4,1,0.14,0.1212,0.5,0.2537,0,4,4,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
283,2011-01-13,1,0,1,5,0,4,1,0.14,0.1212,0.5,0.2985,0,3,3,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
284,2011-01-13,1,0,1,6,0,4,1,0.12,0.1515,0.54,0.1343,0,28,28,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
285,2011-01-13,1,0,1,7,0,4,1,0.12,0.1515,0.54,0.1343,0,72,72,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
286,2011-01-13,1,0,1,8,0,4,1,0.14,0.1364,0.5,0.194,5,197,202,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
287,2011-01-13,1,0,1,9,0,4,1,0.14,0.1212,0.5,0.3284,2,137,139,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
288,2011-01-13,1,0,1,10,0,4,2,0.16,0.1364,0.5,0.3582,2,36,38,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
289,2011-01-13,1,0,1,11,0,4,2,0.2,0.1667,0.44,0.4478,4,33,37,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
290,2011-01-13,1,0,1,12,0,4,1,0.2,0.1667,0.44,0.4179,3,49,52,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
291,2011-01-13,1,0,1,13,0,4,1,0.22,0.197,0.41,0.4478,2,81,83,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
292,2011-01-13,1,0,1,14,0,4,1,0.22,0.197,0.41,0.3881,3,39,42,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
293,2011-01-13,1,0,1,15,0,4,1,0.24,0.2121,0.38,0.2985,5,55,60,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
294,2011-01-13,1,0,1,16,0,4,1,0.24,0.2121,0.38,0.3582,2,76,78,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
295,2011-01-13,1,0,1,17,0,4,1,0.2,0.1818,0.4,0.2836,4,158,162,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
296,2011-01-13,1,0,1,18,0,4,1,0.2,0.1818,0.4,0.3284,3,141,144,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
297,2011-01-13,1,0,1,19,0,4,1,0.16,0.1515,0.47,0.2537,1,98,99,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
298,2011-01-13,1,0,1,20,0,4,1,0.16,0.1515,0.47,0.2239,0,64,64,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
299,2011-01-13,1,0,1,21,0,4,1,0.14,0.1212,0.46,0.2985,0,40,40,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
300,2011-01-13,1,0,1,22,0,4,1,0.14,0.1212,0.46,0.3284,0,30,30,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
301,2011-01-13,1,0,1,23,0,4,1,0.12,0.1364,0.5,0.194,1,14,15,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
302,2011-01-14,1,0,1,0,0,5,1,0.12,0.1364,0.5,0.194,0,14,14,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
303,2011-01-14,1,0,1,1,0,5,1,0.1,0.1212,0.54,0.1642,0,5,5,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
304,2011-01-14,1,0,1,2,0,5,1,0.1,0.1212,0.54,0.1343,0,1,1,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
305,2011-01-14,1,0,1,3,0,5,1,0.1,0.1364,0.54,0.1045,0,1,1,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
306,2011-01-14,1,0,1,5,0,5,1,0.1,0.1364,0.54,0.0896,0,8,8,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
307,2011-01-14,1,0,1,6,0,5,1,0.1,0.1818,0.54,0.0,0,17,17,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
308,2011-01-14,1,0,1,7,0,5,1,0.1,0.1212,0.74,0.1642,0,70,70,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
309,2011-01-14,1,0,1,8,0,5,1,0.12,0.1667,0.68,0.0,2,156,158,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
310,2011-01-14,1,0,1,9,0,5,1,0.14,0.1515,0.69,0.1343,0,117,117,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
311,2011-01-14,1,0,1,10,0,5,1,0.18,0.1818,0.55,0.194,4,40,44,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
312,2011-01-14,1,0,1,11,0,5,1,0.18,0.1667,0.51,0.2836,6,47,53,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
313,2011-01-14,1,0,1,12,0,5,1,0.2,0.197,0.44,0.2537,2,59,61,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
314,2011-01-14,1,0,1,13,0,5,1,0.22,0.197,0.37,0.3881,4,73,77,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
315,2011-01-14,1,0,1,14,0,5,1,0.22,0.2121,0.41,0.2836,5,59,64,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
316,2011-01-14,1,0,1,15,0,5,1,0.24,0.2424,0.38,0.1642,9,59,68,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
317,2011-01-14,1,0,1,16,0,5,1,0.22,0.2424,0.41,0.1045,3,87,90,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
318,2011-01-14,1,0,1,17,0,5,1,0.22,0.2273,0.41,0.1642,4,155,159,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
319,2011-01-14,1,0,1,18,0,5,1,0.2,0.2576,0.47,0.0,5,134,139,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
320,2011-01-14,1,0,1,19,0,5,1,0.16,0.197,0.59,0.0896,3,89,92,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
321,2011-01-14,1,0,1,20,0,5,1,0.18,0.2424,0.59,0.0,0,68,68,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
322,2011-01-14,1,0,1,21,0,5,1,0.16,0.2273,0.69,0.0,4,48,52,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
